[2022-11-19 01:01:02,141] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2022-11-19 01:01:11,066] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,088] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,112] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,136] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,160] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,184] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,208] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,231] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,255] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,276] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,299] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
